rank,title,doi,doi_url,publication_year,publication_date,journal_or_venue,cited_by_count,open_access,oa_status,oa_url,openalex_id,primary_topic,primary_subfield,work_type,retrieved_at_utc
223,Matching As An Econometric Evaluation Estimator,10.1111/1467-937x.00044,https://doi.org/10.1111/1467-937x.00044,1998,1998-04-01,The Review of Economic Studies,3831,No,closed,,https://openalex.org/W2080061756,Statistical Methods and Inference,Statistics and Probability,article,2026-07-24T02:35:38+00:00
224,An Index and Test of Linear Moderated Mediation,10.1080/00273171.2014.962683,https://doi.org/10.1080/00273171.2014.962683,2015,2015-01-02,Multivariate Behavioral Research,3816,No,closed,,https://openalex.org/W1976441470,Advanced Causal Inference Techniques,Statistics and Probability,article,2026-07-24T02:35:38+00:00
225,Writing on dirty paper (Corresp.),10.1109/tit.1983.1056659,https://doi.org/10.1109/tit.1983.1056659,1983,1983-05-01,IEEE Transactions on Information Theory,3814,No,closed,,https://openalex.org/W1976109068,Random Matrices and Applications,Statistics and Probability,article,2026-07-24T02:35:38+00:00
226,Robust Statistics: The Approach Based on Influence Functions,10.2307/1269782,https://doi.org/10.2307/1269782,1987,1987-05-01,Technometrics,3804,No,closed,,https://openalex.org/W2012712694,Advanced Statistical Methods and Models,Statistics and Probability,article,2026-07-24T02:35:38+00:00
227,Applied Regression Analysis,10.2307/1270576,https://doi.org/10.2307/1270576,1999,1999-08-01,Technometrics,3799,No,closed,,https://openalex.org/W4300025484,Advanced Statistical Methods and Models,Statistics and Probability,article,2026-07-24T02:35:38+00:00
228,How Many Subjects Does It Take To Do A Regression Analysis,10.1207/s15327906mbr2603_7,https://doi.org/10.1207/s15327906mbr2603_7,1991,1991-07-01,Multivariate Behavioral Research,3793,No,closed,,https://openalex.org/W2075072883,Advanced Statistical Methods and Models,Statistics and Probability,article,2026-07-24T02:35:38+00:00
229,Regression discontinuity designs: A guide to practice,10.1016/j.jeconom.2007.05.001,https://doi.org/10.1016/j.jeconom.2007.05.001,2007,2007-05-25,Journal of Econometrics,3789,No,closed,,https://openalex.org/W3122958054,Advanced Causal Inference Techniques,Statistics and Probability,article,2026-07-24T02:35:38+00:00
230,The Calculation of Posterior Distributions by Data Augmentation,10.1080/01621459.1987.10478458,https://doi.org/10.1080/01621459.1987.10478458,1987,1987-06-01,Journal of the American Statistical Association,3786,No,closed,,https://openalex.org/W2152977846,Statistical Methods and Bayesian Inference,Statistics and Probability,article,2026-07-24T02:35:38+00:00
231,Generalized Cross-Validation as a Method for Choosing a Good Ridge Parameter,10.1080/00401706.1979.10489751,https://doi.org/10.1080/00401706.1979.10489751,1979,1979-05-01,Technometrics,3781,No,closed,,https://openalex.org/W1990381576,Advanced Statistical Methods and Models,Statistics and Probability,article,2026-07-24T02:35:38+00:00
232,Density Estimation for Statistics and Data Analysis,10.2307/1269475,https://doi.org/10.2307/1269475,1987,1987-11-01,Technometrics,3781,No,closed,,https://openalex.org/W4248721357,Statistical Methods and Inference,Statistics and Probability,article,2026-07-24T02:35:38+00:00
233,"Probable Inference, the Law of Succession, and Statistical Inference",10.1080/01621459.1927.10502953,https://doi.org/10.1080/01621459.1927.10502953,1927,1927-06-01,Journal of the American Statistical Association,3778,No,closed,,https://openalex.org/W2020018978,Statistics Education and Methodologies,Statistics and Probability,article,2026-07-24T02:35:38+00:00
234,Probabilistic neural networks,10.1016/0893-6080(90)90049-q,https://doi.org/10.1016/0893-6080(90)90049-q,1990,1990-01-01,Neural Networks,3772,No,closed,,https://openalex.org/W1964168965,Advanced Statistical Methods and Models,Statistics and Probability,article,2026-07-24T02:35:38+00:00
235,Maximum Likelihood Estimation of Misspecified Models,10.2307/1912004,https://doi.org/10.2307/1912004,1983,1983-03-01,Econometrica,3759,No,closed,,https://openalex.org/W2017137572,Advanced Statistical Methods and Models,Statistics and Probability,article,2026-07-24T02:35:38+00:00
236,Biometry: The Principles and Practice of Statistics in Biological Research (2nd ed.).,10.2307/2287349,https://doi.org/10.2307/2287349,1982,1982-12-01,Journal of the American Statistical Association,3743,No,closed,,https://openalex.org/W2608799023,Statistical Methods and Applications,Statistics and Probability,article,2026-07-24T02:35:38+00:00
237,Procedures for Detecting Outlying Observations in Samples,10.1080/00401706.1969.10490657,https://doi.org/10.1080/00401706.1969.10490657,1969,1969-02-01,Technometrics,3739,No,closed,,https://openalex.org/W1978239142,Advanced Statistical Methods and Models,Statistics and Probability,article,2026-07-24T02:35:38+00:00
238,Understanding the Metropolis-Hastings Algorithm,10.1080/00031305.1995.10476177,https://doi.org/10.1080/00031305.1995.10476177,1995,1995-11-01,The American Statistician,3724,No,closed,,https://openalex.org/W2108207895,Markov Chains and Monte Carlo Methods,Statistics and Probability,article,2026-07-24T02:35:38+00:00
239,The American Statistician,10.1080/00031305.1947.10501534,https://doi.org/10.1080/00031305.1947.10501534,1947,1947-08-01,The American Statistician,3720,No,closed,,https://openalex.org/W4237961478,Statistics Education and Methodologies,Statistics and Probability,article,2026-07-24T02:35:38+00:00
240,Classical and Modern Regression With Applications.,10.2307/2288958,https://doi.org/10.2307/2288958,1988,1988-03-01,Journal of the American Statistical Association,3719,No,closed,,https://openalex.org/W2898519191,Advanced Statistical Methods and Models,Statistics and Probability,article,2026-07-24T02:35:38+00:00
241,Causal Diagrams for Epidemiologic Research,10.1097/00001648-199901000-00008,https://doi.org/10.1097/00001648-199901000-00008,1999,1999-01-01,Epidemiology,3719,No,closed,,https://openalex.org/W4294553991,Advanced Causal Inference Techniques,Statistics and Probability,article,2026-07-24T02:35:38+00:00
242,Flexible smoothing with B-splines and penalties,10.1214/ss/1038425655,https://doi.org/10.1214/ss/1038425655,1996,1996-05-01,Statistical Science,3702,Yes,bronze,https://projecteuclid.org/journals/statistical-science/volume-11/issue-2/Flexible-smoothing-with-B-splines-and-penalties/10.1214/ss/1038425655.pdf,https://openalex.org/W1990420052,Advanced Statistical Methods and Models,Statistics and Probability,article,2026-07-24T02:35:38+00:00
243,Regression Shrinkage and Selection via The Lasso: A Retrospective,10.1111/j.1467-9868.2011.00771.x,https://doi.org/10.1111/j.1467-9868.2011.00771.x,2011,2011-04-20,Journal of the Royal Statistical Society Series B (Statistical Methodology),3685,No,closed,,https://openalex.org/W2119862467,Statistical Methods and Inference,Statistics and Probability,article,2026-07-24T02:35:38+00:00
244,Multiple imputation: a primer,10.1177/096228029900800102,https://doi.org/10.1177/096228029900800102,1999,1999-02-01,Statistical Methods in Medical Research,3674,No,closed,,https://openalex.org/W2127841934,Statistical Methods and Bayesian Inference,Statistics and Probability,article,2026-07-24T02:35:38+00:00
245,Optimal two-stage designs for phase II clinical trials,10.1016/0197-2456(89)90015-9,https://doi.org/10.1016/0197-2456(89)90015-9,1989,1989-03-01,Controlled Clinical Trials,3655,No,closed,,https://openalex.org/W2029409133,Statistical Methods in Clinical Trials,Statistics and Probability,article,2026-07-24T02:35:38+00:00
246,Applied Logistic Regression Analysis,10.1080/00401706.1996.10484485,https://doi.org/10.1080/00401706.1996.10484485,1996,1996-05-01,Technometrics,3648,No,closed,,https://openalex.org/W1986760411,Advanced Statistical Methods and Models,Statistics and Probability,article,2026-07-24T02:35:38+00:00
247,A Measure of Asymptotic Efficiency for Tests of a Hypothesis Based on the sum of Observations,10.1214/aoms/1177729330,https://doi.org/10.1214/aoms/1177729330,1952,1952-12-01,The Annals of Mathematical Statistics,3626,Yes,bronze,https://projecteuclid.org/journals/annals-of-mathematical-statistics/volume-23/issue-4/A-Measure-of-Asymptotic-Efficiency-for-Tests-of-a-Hypothesis/10.1214/aoms/1177729330.pdf,https://openalex.org/W2042587503,Statistical Methods and Inference,Statistics and Probability,article,2026-07-24T02:35:38+00:00
248,Statistical Method in Biological Assay.,10.2307/2982559,https://doi.org/10.2307/2982559,1979,1979-01-01,Journal of the Royal Statistical Society Series A (General),3617,No,closed,,https://openalex.org/W1991536033,Statistical Methods in Clinical Trials,Statistics and Probability,article,2026-07-24T02:35:38+00:00
249,Rank Transformations as a Bridge between Parametric and Nonparametric Statistics,10.1080/00031305.1981.10479327,https://doi.org/10.1080/00031305.1981.10479327,1981,1981-08-01,The American Statistician,3596,No,closed,,https://openalex.org/W1983439863,Advanced Statistical Methods and Models,Statistics and Probability,article,2026-07-24T02:35:38+00:00
250,Survival Analysis Techniques for Censored and Truncated Data,10.2307/1270658,https://doi.org/10.2307/1270658,1998,1998-05-01,Technometrics,3590,No,closed,,https://openalex.org/W2160842550,Statistical Distribution Estimation and Applications,Statistics and Probability,article,2026-07-24T02:35:38+00:00
251,Least Median of Squares Regression,10.1080/01621459.1984.10477105,https://doi.org/10.1080/01621459.1984.10477105,1984,1984-12-01,Journal of the American Statistical Association,3578,No,closed,,https://openalex.org/W2152701363,Advanced Statistical Methods and Models,Statistics and Probability,article,2026-07-24T02:35:38+00:00
252,Causal Inference without Balance Checking: Coarsened Exact Matching,10.1093/pan/mpr013,https://doi.org/10.1093/pan/mpr013,2011,2011-08-25,Political Analysis,3567,Yes,bronze,https://www.cambridge.org/core/services/aop-cambridge-core/content/view/5ABCF5B3FC3089A87FD59CECBB3465C0/S1047198700012985a.pdf/div-class-title-causal-inference-without-balance-checking-coarsened-exact-matching-div.pdf,https://openalex.org/W2029941278,Advanced Causal Inference Techniques,Statistics and Probability,article,2026-07-24T02:35:38+00:00
253,Multiple imputation by chained equations: what is it and how does it work?,10.1002/mpr.329,https://doi.org/10.1002/mpr.329,2011,2011-02-24,International Journal of Methods in Psychiatric Research,3540,Yes,green,https://www.ncbi.nlm.nih.gov/pmc/articles/3074241,https://openalex.org/W1919216911,Statistical Methods and Bayesian Inference,Statistics and Probability,article,2026-07-24T02:35:38+00:00
254,Interval Estimation for a Binomial Proportion,10.1214/ss/1009213286,https://doi.org/10.1214/ss/1009213286,2001,2001-05-01,Statistical Science,3530,Yes,bronze,https://projecteuclid.org/journals/statistical-science/volume-16/issue-2/Interval-Estimation-for-a-Binomial-Proportion/10.1214/ss/1009213286.pdf,https://openalex.org/W2106578604,Statistical Distribution Estimation and Applications,Statistics and Probability,article,2026-07-24T02:35:38+00:00
255,The Central Role of the Propensity Score in Observational Studies for Causal Effects,10.2307/2335942,https://doi.org/10.2307/2335942,1983,1983-04-01,Biometrika,3509,No,closed,,https://openalex.org/W4233216783,Advanced Causal Inference Techniques,Statistics and Probability,article,2026-07-24T02:35:38+00:00
256,Markov Chains for Exploring Posterior Distributions,10.1214/aos/1176325750,https://doi.org/10.1214/aos/1176325750,1994,1994-12-01,The Annals of Statistics,3506,Yes,bronze,https://projecteuclid.org/journals/annals-of-statistics/volume-22/issue-4/Markov-Chains-for-Exploring-Posterior-Distributions/10.1214/aos/1176325750.pdf,https://openalex.org/W2136796925,Markov Chains and Monte Carlo Methods,Statistics and Probability,article,2026-07-24T02:35:38+00:00
257,Multivariate Models and Dependence Concepts.,10.2307/2533875,https://doi.org/10.2307/2533875,1998,1998-09-01,Biometrics,3489,No,closed,,https://openalex.org/W2798180542,Statistical Methods and Bayesian Inference,Statistics and Probability,article,2026-07-24T02:35:38+00:00
258,The Large-Sample Distribution of the Likelihood Ratio for Testing Composite Hypotheses,10.1214/aoms/1177732360,https://doi.org/10.1214/aoms/1177732360,1938,1938-03-01,The Annals of Mathematical Statistics,3487,Yes,bronze,https://projecteuclid.org/journals/annals-of-mathematical-statistics/volume-9/issue-1/The-Large-Sample-Distribution-of-the-Likelihood-Ratio-for-Testing/10.1214/aoms/1177732360.pdf,https://openalex.org/W2019841176,Advanced Statistical Methods and Models,Statistics and Probability,article,2026-07-24T02:35:38+00:00
259,Fundamental Statistics in Psychology and Education.,10.2307/2980908,https://doi.org/10.2307/2980908,1951,1951-01-01,Journal of the Royal Statistical Society Series A (General),3487,No,closed,,https://openalex.org/W2093349432,Statistics Education and Methodologies,Statistics and Probability,article,2026-07-24T02:35:38+00:00
260,Estimation of Average Concentration in the Presence of Nondetectable Values,10.1080/1047322x.1990.10389587,https://doi.org/10.1080/1047322x.1990.10389587,1990,1990-01-01,Applied Occupational and Environmental Hygiene,3462,No,closed,,https://openalex.org/W2016709601,Advanced Statistical Methods and Models,Statistics and Probability,article,2026-07-24T02:35:38+00:00
261,Journal of the Royal Statistical Society (B),10.1016/0169-2070(93)90088-5,https://doi.org/10.1016/0169-2070(93)90088-5,1993,1993-12-01,International Journal of Forecasting,3457,No,closed,,https://openalex.org/W1544729927,Statistical Methods and Bayesian Inference,Statistics and Probability,article,2026-07-24T02:35:38+00:00
262,Sufficient Sample Sizes for Multilevel Modeling,10.1027/1614-2241.1.3.86,https://doi.org/10.1027/1614-2241.1.3.86,2005,2005-01-01,Methodology,3454,No,closed,,https://openalex.org/W2112146495,Statistical Methods and Bayesian Inference,Statistics and Probability,article,2026-07-24T02:35:38+00:00
263,Generalized Additive Models,10.1214/ss/1177013604,https://doi.org/10.1214/ss/1177013604,1986,1986-08-01,Statistical Science,3440,No,closed,,https://openalex.org/W2166163519,Advanced Statistical Methods and Models,Statistics and Probability,article,2026-07-24T02:35:38+00:00
264,Auxiliary Variables in Mixture Modeling: Three-Step Approaches Using M<i>plus</i>,10.1080/10705511.2014.915181,https://doi.org/10.1080/10705511.2014.915181,2014,2014-06-09,Structural Equation Modeling A Multidisciplinary Journal,3411,No,closed,,https://openalex.org/W2147200107,Statistical Methods and Bayesian Inference,Statistics and Probability,article,2026-07-24T02:35:38+00:00
265,Non-Parametric Statistics for the Behavioral Sciences.,10.2307/2551606,https://doi.org/10.2307/2551606,1957,1957-05-01,Economica,3406,No,closed,,https://openalex.org/W2002617716,Statistics Education and Methodologies,Statistics and Probability,article,2026-07-24T02:35:38+00:00
266,Aspects of Multivariate Statistical Theory,10.2307/1268117,https://doi.org/10.2307/1268117,1984,1984-05-01,Technometrics,3390,No,closed,,https://openalex.org/W2120350343,Advanced Statistical Methods and Models,Statistics and Probability,article,2026-07-24T02:35:38+00:00
267,Nonparametrics: Statistical Methods Based on Ranks,10.2307/1268531,https://doi.org/10.2307/1268531,1979,1979-05-01,Technometrics,3373,No,closed,,https://openalex.org/W2797177778,Statistical Methods and Inference,Statistics and Probability,article,2026-07-24T02:35:38+00:00
268,An Introduction to Probability Theory.,10.2307/2288022,https://doi.org/10.2307/2288022,1986,1986-03-01,Journal of the American Statistical Association,3372,No,closed,,https://openalex.org/W2064975723,Statistics Education and Methodologies,Statistics and Probability,article,2026-07-24T02:35:38+00:00
269,A Multiple Testing Procedure for Clinical Trials,10.2307/2530245,https://doi.org/10.2307/2530245,1979,1979-09-01,Biometrics,3362,No,closed,,https://openalex.org/W2059707463,Statistical Methods in Clinical Trials,Statistics and Probability,article,2026-07-24T02:35:38+00:00
270,On the practice of dichotomization of quantitative variables.,10.1037/1082-989x.7.1.19,https://doi.org/10.1037/1082-989x.7.1.19,2002,2002-01-01,Psychological Methods,3362,Yes,green,https://kuscholarworks.ku.edu/bitstreams/1f9e5327-a52d-43c1-924c-4e812586162d/download,https://openalex.org/W2108096958,Advanced Statistical Methods and Models,Statistics and Probability,article,2026-07-24T02:35:38+00:00
271,Adaptive linear step-up procedures that control the false discovery rate,10.1093/biomet/93.3.491,https://doi.org/10.1093/biomet/93.3.491,2006,2006-09-01,Biometrika,3358,No,closed,,https://openalex.org/W1980361506,Statistical Methods in Clinical Trials,Statistics and Probability,article,2026-07-24T02:35:38+00:00
272,CONISS: a FORTRAN 77 program for stratigraphically constrained cluster analysis by the method of incremental sum of squares,10.1016/0098-3004(87)90022-7,https://doi.org/10.1016/0098-3004(87)90022-7,1987,1987-01-01,Computers & Geosciences,3355,No,closed,,https://openalex.org/W2141459972,Statistical Methods and Applications,Statistics and Probability,article,2026-07-24T02:35:38+00:00
273,A generalized Wilcoxon test for comparing arbitrarily singly-censored samples,10.1093/biomet/52.1-2.203,https://doi.org/10.1093/biomet/52.1-2.203,1965,1965-06-01,Biometrika,3353,No,closed,,https://openalex.org/W2143594378,Statistical Distribution Estimation and Applications,Statistics and Probability,article,2026-07-24T02:35:38+00:00
274,Better Bootstrap Confidence Intervals,10.1080/01621459.1987.10478410,https://doi.org/10.1080/01621459.1987.10478410,1987,1987-03-01,Journal of the American Statistical Association,3347,No,closed,,https://openalex.org/W2126728600,Statistical Methods and Inference,Statistics and Probability,article,2026-07-24T02:35:38+00:00
275,Applied Regression Analysis,10.2307/1266329,https://doi.org/10.2307/1266329,1967,1967-02-01,Technometrics,3329,No,closed,,https://openalex.org/W4301041382,Advanced Statistical Methods and Models,Statistics and Probability,article,2026-07-24T02:35:38+00:00
276,A survey of cross-validation procedures for model selection,10.1214/09-ss054,https://doi.org/10.1214/09-ss054,2010,2010-01-01,Statistics Surveys,3309,Yes,diamond,https://projecteuclid.org/journals/statistics-surveys/volume-4/issue-none/A-survey-of-cross-validation-procedures-for-model-selection/10.1214/09-SS054.pdf,https://openalex.org/W1981552604,Statistical Methods and Inference,Statistics and Probability,article,2026-07-24T02:35:38+00:00
277,An Introduction to Multivariate Statistical Analysis.,10.2307/2981950,https://doi.org/10.2307/2981950,1985,1985-01-01,Journal of the Royal Statistical Society Series A (General),3285,No,closed,,https://openalex.org/W4230727635,Advanced Statistical Methods and Models,Statistics and Probability,article,2026-07-24T02:35:38+00:00
278,Making the Most of Statistical Analyses: Improving Interpretation and Presentation,10.2307/2669316,https://doi.org/10.2307/2669316,2000,2000-04-01,American Journal of Political Science,3277,No,closed,,https://openalex.org/W3125554979,Statistics Education and Methodologies,Statistics and Probability,article,2026-07-24T02:35:38+00:00
279,Probability: Theory and Examples.,10.2307/2290301,https://doi.org/10.2307/2290301,1992,1992-06-01,Journal of the American Statistical Association,3272,No,closed,,https://openalex.org/W2169071224,Probability and Statistical Research,Statistics and Probability,article,2026-07-24T02:35:38+00:00
280,Journal of the Royal Statistical Society.,10.1093/ej/33.130.269,https://doi.org/10.1093/ej/33.130.269,1923,1923-06-01,The Economic Journal,3267,No,closed,,https://openalex.org/W4229926969,Census and Population Estimation,Statistics and Probability,article,2026-07-24T02:35:38+00:00
281,On the Kolmogorov-Smirnov Test for Normality with Mean and Variance Unknown,10.2307/2283970,https://doi.org/10.2307/2283970,1967,1967-06-01,Journal of the American Statistical Association,3265,No,closed,,https://openalex.org/W1990701202,Advanced Statistical Methods and Models,Statistics and Probability,article,2026-07-24T02:35:38+00:00
282,"Generalized Additive Models for Location, Scale and Shape",10.1111/j.1467-9876.2005.00510.x,https://doi.org/10.1111/j.1467-9876.2005.00510.x,2005,2005-04-14,Journal of the Royal Statistical Society Series C (Applied Statistics),3255,Yes,bronze,https://academic.oup.com/jrsssc/article-pdf/54/3/507/50016951/jrsssc_54_3_507.pdf,https://openalex.org/W2154065358,Advanced Statistical Methods and Models,Statistics and Probability,article,2026-07-24T02:35:38+00:00
283,Reducing Bias in Observational Studies Using Subclassification on the Propensity Score,10.2307/2288398,https://doi.org/10.2307/2288398,1984,1984-09-01,Journal of the American Statistical Association,3249,Yes,green,http://nrs.harvard.edu/urn-3:HUL.InstRepos:3630272,https://openalex.org/W1989377468,Advanced Causal Inference Techniques,Statistics and Probability,article,2026-07-24T02:35:38+00:00
284,Combining Pattern Classifiers: Methods and Algorithms,10.1198/tech.2005.s320,https://doi.org/10.1198/tech.2005.s320,2005,2005-11-01,Technometrics,3237,No,closed,,https://openalex.org/W2124868070,Advanced Statistical Methods and Models,Statistics and Probability,article,2026-07-24T02:35:38+00:00
285,Approximate is Better than “Exact” for Interval Estimation of Binomial Proportions,10.1080/00031305.1998.10480550,https://doi.org/10.1080/00031305.1998.10480550,1998,1998-05-01,The American Statistician,3237,No,closed,,https://openalex.org/W2162445884,Statistics Education and Methodologies,Statistics and Probability,article,2026-07-24T02:35:38+00:00
286,Statistical difficulties of detecting interactions and moderator effects.,10.1037/0033-2909.114.2.376,https://doi.org/10.1037/0033-2909.114.2.376,1993,1993-01-01,Psychological Bulletin,3192,No,closed,,https://openalex.org/W2029079171,Advanced Statistical Methods and Models,Statistics and Probability,article,2026-07-24T02:35:38+00:00
287,L-Moments: Analysis and Estimation of Distributions Using Linear Combinations of Order Statistics,10.1111/j.2517-6161.1990.tb01775.x,https://doi.org/10.1111/j.2517-6161.1990.tb01775.x,1990,1990-09-01,Journal of the Royal Statistical Society Series B (Statistical Methodology),3185,No,closed,,https://openalex.org/W1481794564,Statistical Distribution Estimation and Applications,Statistics and Probability,article,2026-07-24T02:35:38+00:00
288,"Logistic Regression: Why We Cannot Do What We Think We Can Do, and What We Can Do About It",10.1093/esr/jcp006,https://doi.org/10.1093/esr/jcp006,2009,2009-03-09,European Sociological Review,3185,No,closed,,https://openalex.org/W2101771110,Statistical Methods and Inference,Statistics and Probability,article,2026-07-24T02:35:38+00:00
289,Review of Using Multivariate Statistics.,10.1037/022267,https://doi.org/10.1037/022267,1983,1983-08-01,Contemporary Psychology,3156,No,closed,,https://openalex.org/W2066005979,Statistical Methods and Applications,Statistics and Probability,article,2026-07-24T02:35:38+00:00
290,Extension of Multiple Range Tests to Group Means with Unequal Numbers of Replications,10.2307/3001469,https://doi.org/10.2307/3001469,1956,1956-09-01,Biometrics,3150,No,closed,,https://openalex.org/W2329442555,Statistical Methods in Clinical Trials,Statistics and Probability,article,2026-07-24T02:35:38+00:00
291,A Simple General Approach to Inference About the Tail of a Distribution,10.1214/aos/1176343247,https://doi.org/10.1214/aos/1176343247,1975,1975-09-01,The Annals of Statistics,3149,Yes,bronze,https://projecteuclid.org/journals/annals-of-statistics/volume-3/issue-5/A-Simple-General-Approach-to-Inference-About-the-Tail-of/10.1214/aos/1176343247.pdf,https://openalex.org/W2048649579,Statistical Distribution Estimation and Applications,Statistics and Probability,article,2026-07-24T02:35:38+00:00
292,Ensemble samplers with affine invariance,10.2140/camcos.2010.5.65,https://doi.org/10.2140/camcos.2010.5.65,2010,2010-01-31,Communications in Applied Mathematics and Computational Science,3126,Yes,bronze,http://msp.org/camcos/2010/5-1/camcos-v5-n1-p04-s.pdf,https://openalex.org/W2101687185,Markov Chains and Monte Carlo Methods,Statistics and Probability,article,2026-07-24T02:35:38+00:00
293,Bayesian Analysis of Binary and Polychotomous Response Data,10.1080/01621459.1993.10476321,https://doi.org/10.1080/01621459.1993.10476321,1993,1993-06-01,Journal of the American Statistical Association,3124,No,closed,,https://openalex.org/W2108306139,Statistical Methods and Bayesian Inference,Statistics and Probability,article,2026-07-24T02:35:38+00:00
294,Sample size of 12 per group rule of thumb for a pilot study,10.1002/pst.185,https://doi.org/10.1002/pst.185,2005,2005-10-01,Pharmaceutical Statistics,3123,No,closed,,https://openalex.org/W2082494913,Statistical Methods in Clinical Trials,Statistics and Probability,article,2026-07-24T02:35:38+00:00
295,Mathematical Statistics and Data Analysis,10.2307/3556160,https://doi.org/10.2307/3556160,1989,1989-08-01,Technometrics,3097,Yes,gold,http://www.gbv.de/dms/ilmenau/toc/521766079.PDF,https://openalex.org/W2120176508,Advanced Statistical Methods and Models,Statistics and Probability,article,2026-07-24T02:35:38+00:00
296,Reducing Bias in Observational Studies Using Subclassification on the Propensity Score,10.1080/01621459.1984.10478078,https://doi.org/10.1080/01621459.1984.10478078,1984,1984-09-01,Journal of the American Statistical Association,3087,No,closed,,https://openalex.org/W4239728164,Advanced Causal Inference Techniques,Statistics and Probability,article,2026-07-24T02:35:38+00:00
297,Air Pollution and Hospital Admissions for Heart Disease in Eight U.S. Counties,10.1097/00001648-199901000-00005,https://doi.org/10.1097/00001648-199901000-00005,1999,1999-01-01,Epidemiology,3071,No,closed,,https://openalex.org/W2062594082,Advanced Causal Inference Techniques,Statistics and Probability,article,2026-07-24T02:35:38+00:00
298,Applied Regression Analysis (2nd ed).,10.2307/2287608,https://doi.org/10.2307/2287608,1981,1981-12-01,Journal of the American Statistical Association,3069,No,closed,,https://openalex.org/W2022480405,Statistical Methods and Applications,Statistics and Probability,article,2026-07-24T02:35:38+00:00
299,On the Kolmogorov-Smirnov Test for Normality with Mean and Variance Unknown,10.1080/01621459.1967.10482916,https://doi.org/10.1080/01621459.1967.10482916,1967,1967-06-01,Journal of the American Statistical Association,3069,No,closed,,https://openalex.org/W4239953570,Advanced Statistical Methods and Models,Statistics and Probability,article,2026-07-24T02:35:38+00:00
300,Interrupted time series regression for the evaluation of public health interventions: a tutorial,10.1093/ije/dyw098,https://doi.org/10.1093/ije/dyw098,2016,2016-06-09,International Journal of Epidemiology,3058,Yes,bronze,https://academic.oup.com/ije/article-pdf/46/1/348/24170929/dyw098.pdf,https://openalex.org/W2416547532,Advanced Causal Inference Techniques,Statistics and Probability,article,2026-07-24T02:35:38+00:00
301,"The estimation of the gradient of a density function, with applications in pattern recognition",10.1109/tit.1975.1055330,https://doi.org/10.1109/tit.1975.1055330,1975,1975-01-01,IEEE Transactions on Information Theory,3053,No,closed,,https://openalex.org/W2164500538,Statistical Methods and Inference,Statistics and Probability,article,2026-07-24T02:35:38+00:00
302,Robust Nonparametric Confidence Intervals for Regression-Discontinuity Designs,10.3982/ecta11757,https://doi.org/10.3982/ecta11757,2014,2014-11-01,Econometrica,3035,Yes,bronze,https://onlinelibrary.wiley.com/doi/pdfdirect/10.3982/ECTA11757,https://openalex.org/W1537287213,Advanced Causal Inference Techniques,Statistics and Probability,article,2026-07-24T02:35:38+00:00
303,Beta Regression for Modelling Rates and Proportions,10.1080/0266476042000214501,https://doi.org/10.1080/0266476042000214501,2004,2004-08-01,Journal of Applied Statistics,3034,No,closed,,https://openalex.org/W1998643818,Statistical Distribution Estimation and Applications,Statistics and Probability,article,2026-07-24T02:35:38+00:00
304,Comparison of five rules for determining the number of components to retain.,10.1037/0033-2909.99.3.432,https://doi.org/10.1037/0033-2909.99.3.432,1986,1986-05-01,Psychological Bulletin,3027,No,closed,,https://openalex.org/W2041963641,Statistical Methods and Applications,Statistics and Probability,article,2026-07-24T02:35:38+00:00
305,The Determination of the Order of an Autoregression,10.1111/j.2517-6161.1979.tb01072.x,https://doi.org/10.1111/j.2517-6161.1979.tb01072.x,1979,1979-01-01,Journal of the Royal Statistical Society Series B (Statistical Methodology),3025,No,closed,,https://openalex.org/W1500470240,Advanced Statistical Methods and Models,Statistics and Probability,article,2026-07-24T02:35:38+00:00
306,The Bayesian Lasso,10.1198/016214508000000337,https://doi.org/10.1198/016214508000000337,2008,2008-06-01,Journal of the American Statistical Association,3025,No,closed,,https://openalex.org/W1982652137,Statistical Methods and Inference,Statistics and Probability,article,2026-07-24T02:35:38+00:00
307,How much should we trust staggered difference-in-differences estimates?,10.1016/j.jfineco.2022.01.004,https://doi.org/10.1016/j.jfineco.2022.01.004,2022,2022-02-22,Journal of Financial Economics,3020,Yes,hybrid,https://doi.org/10.1016/j.jfineco.2022.01.004,https://openalex.org/W4283387379,Advanced Causal Inference Techniques,Statistics and Probability,article,2026-07-24T02:35:38+00:00
308,Randomized Response: A Survey Technique for Eliminating Evasive Answer Bias,10.1080/01621459.1965.10480775,https://doi.org/10.1080/01621459.1965.10480775,1965,1965-03-01,Journal of the American Statistical Association,3010,No,closed,,https://openalex.org/W2013823004,Survey Sampling and Estimation Techniques,Statistics and Probability,article,2026-07-24T02:35:38+00:00
309,An Introduction to Statistical Learning: with Applications in R,10.25334/q4ht55,https://doi.org/10.25334/q4ht55,2018,2018-01-01,,2991,Yes,green,https://doi.org/10.25334/q4ht55,https://openalex.org/W1492815834,Statistical Methods and Applications,Statistics and Probability,article,2026-07-24T02:35:38+00:00
310,"A Leisurely Look at the Bootstrap, the Jackknife, and Cross-Validation",10.1080/00031305.1983.10483087,https://doi.org/10.1080/00031305.1983.10483087,1983,1983-02-01,The American Statistician,2979,No,closed,,https://openalex.org/W1976927254,Advanced Statistical Methods and Models,Statistics and Probability,article,2026-07-24T02:35:38+00:00
